Heure,Niveau,Pression (hPa),Température (°C),Theta (K),Theta_w (K)
13-15,0,944.41,21.21,299.21,292.23
13-15,1,941.23,20.54,298.82,291.76
13-15,2,936.63,19.91,298.6,291.51
13-15,3,931.36,19.31,298.47,291.36
13-15,4,925.43,18.69,298.38,291.25
13-15,5,918.84,18.03,298.31,291.16
13-15,6,911.62,17.33,298.26,291.09
13-15,7,903.71,16.57,298.22,291.02
13-15,8,895.18,15.76,298.2,290.96
13-15,9,886.05,14.91,298.19,290.89
13-15,10,876.33,14.0,298.19,290.81
13-15,11,866.04,13.04,298.2,290.73
13-15,12,855.14,12.05,298.24,290.65
13-15,13,843.7,11.0,298.29,290.56
13-15,14,831.74,9.98,298.43,290.44
13-15,15,819.24,9.16,298.86,290.27
13-15,16,806.27,8.25,299.26,290.06
13-15,17,792.84,7.1,299.47,289.68
13-15,18,778.98,6.02,299.82,289.4
13-15,19,764.71,5.13,300.45,289.32
13-15,20,750.03,4.2,301.11,289.26
13-15,21,735.01,3.17,301.73,289.14
13-15,22,719.67,2.16,302.44,289.09
13-15,23,704.04,0.67,302.7,288.7
13-15,24,688.13,-1.15,302.66,288.12
13-15,25,672.03,-2.73,302.94,287.22
13-15,26,655.91,-3.21,304.51,286.45
13-15,27,639.98,-4.05,305.7,286.34
13-15,28,624.37,-5.18,306.58,286.33
13-15,29,609.07,-6.34,307.42,286.27
13-15,30,594.07,-7.56,308.2,286.14
13-15,31,579.37,-8.78,308.98,286.74
13-15,32,564.97,-9.93,309.87,287.26
13-15,33,550.87,-11.15,310.67,287.46
13-15,34,537.05,-12.35,311.49,287.44
13-15,35,523.51,-13.51,312.38,287.46
13-15,36,510.25,-14.87,313.03,287.61
13-15,37,497.25,-16.33,313.56,287.63
13-15,38,484.52,-17.58,314.36,287.67
13-15,39,472.04,-19.1,314.82,287.75
13-15,40,459.83,-20.48,315.46,287.81
13-15,41,447.86,-21.99,315.96,287.94
13-15,42,436.13,-23.46,316.5,288.07
13-15,43,424.65,-24.94,317.02,288.24
13-15,44,413.4,-26.46,317.52,288.4
13-15,45,402.39,-27.99,317.99,288.55
13-15,46,391.6,-29.5,318.5,288.68
13-15,47,381.04,-30.98,319.04,288.79
13-15,48,370.7,-32.46,319.6,288.91
13-15,49,360.58,-33.97,320.1,289.01
13-15,50,350.68,-35.54,320.55,289.13
13-15,51,340.98,-37.18,320.89,289.23
13-15,52,331.48,-38.94,321.08,289.28
13-15,53,322.18,-40.69,321.29,289.32
13-15,54,313.07,-42.43,321.5,289.35
13-15,55,304.16,-44.06,321.88,289.42
13-15,56,295.44,-45.59,322.39,289.53
13-15,57,286.91,-47.04,323.03,289.69
13-15,58,278.58,-48.41,323.79,289.9
13-15,59,270.44,-49.81,324.52,290.11
13-15,60,262.49,-51.23,325.2,290.31
13-15,61,254.73,-52.74,325.77,290.48
13-15,62,247.14,-54.21,326.42,290.67
13-15,63,239.73,-55.59,327.19,290.89
13-15,64,232.5,-56.76,328.29,291.2
13-15,65,225.46,-57.73,329.7,291.59
13-15,66,218.6,-58.53,331.39,292.06
13-15,67,211.93,-59.11,333.43,292.6
13-15,68,205.45,-59.4,335.95,293.26
13-15,69,199.17,-59.17,339.31,294.1
13-15,70,193.09,-58.28,343.75,295.17
13-15,71,187.24,-56.79,349.2,296.4
13-15,72,181.59,-55.56,354.27,297.48
13-15,73,176.14,-54.69,358.78,298.4
13-15,74,170.87,-54.26,362.63,299.14
13-15,75,165.77,-54.07,366.1,299.79
13-15,76,160.82,-53.98,369.44,300.4
13-15,77,156.02,-54.15,372.36,300.91
13-15,78,151.35,-54.23,375.46,301.43
13-15,79,146.83,-54.43,378.39,301.92
13-15,80,142.44,-54.64,381.33,302.39
13-15,81,138.17,-54.87,384.25,302.85
13-15,82,134.03,-55.04,387.3,303.31
13-15,83,130.01,-55.12,390.54,303.79
13-15,84,126.11,-55.16,393.88,304.27
13-15,85,122.32,-55.18,397.3,304.74
13-15,86,118.65,-55.09,400.93,305.24
13-15,87,115.09,-54.96,404.68,305.73
13-15,88,111.65,-54.69,408.71,306.24
13-15,89,108.3,-54.47,412.68,306.73
13-15,90,105.07,-54.37,416.48,307.19
13-15,91,101.92,-54.38,420.08,307.61
13-15,92,98.88,-54.54,423.43,307.99
13-15,93,95.92,-54.85,426.52,308.33
13-15,94,93.04,-55.24,429.49,308.65
13-15,95,90.24,-55.68,432.37,308.96
13-15,96,87.53,-56.11,435.31,309.27
13-15,97,84.89,-56.47,438.4,309.58
13-15,98,82.32,-56.72,441.74,309.92
13-15,99,79.84,-56.84,445.39,310.27
13-15,100,77.42,-56.86,449.26,310.64
13-15,101,75.08,-56.85,453.25,311.01
13-15,102,72.81,-56.9,457.13,311.36
13-15,103,70.61,-56.99,460.96,311.7
13-15,104,68.47,-57.26,464.45,312.0
13-15,105,66.4,-57.54,467.95,312.3
13-15,106,64.38,-57.8,471.52,312.6
13-15,107,62.43,-58.01,475.24,312.9
13-15,108,60.53,-58.06,479.33,313.22
13-15,109,58.69,-58.09,483.5,313.55
13-15,110,56.9,-58.07,487.84,313.87
13-30,0,944.43,19.48,297.45,291.45
13-30,1,941.23,19.19,297.44,291.0
13-30,2,936.62,18.87,297.54,290.92
13-30,3,931.33,18.48,297.62,290.92
13-30,4,925.38,18.08,297.75,290.82
13-30,5,918.79,17.61,297.88,290.69
13-30,6,911.55,17.09,298.02,290.59
13-30,7,903.64,16.46,298.12,290.51
13-30,8,895.11,15.77,298.22,290.42
13-30,9,885.97,15.01,298.31,290.34
13-30,10,876.26,14.17,298.37,290.27
13-30,11,865.97,13.26,298.43,290.21
13-30,12,855.07,12.27,298.48,290.16
13-30,13,843.64,11.27,298.58,290.09
13-30,14,831.68,10.2,298.67,289.95
13-30,15,819.19,9.15,298.85,289.82
13-30,16,806.22,8.08,299.08,289.58
13-30,17,792.79,7.02,299.39,289.05
13-30,18,778.94,6.27,300.09,288.14
13-30,19,764.7,5.14,300.46,287.9
13-30,20,750.03,3.93,300.81,287.58
13-30,21,735.01,2.82,301.34,287.29
13-30,22,719.67,1.83,302.08,287.28
13-30,23,704.05,0.33,302.32,287.16
13-30,24,688.16,-0.92,302.91,287.26
13-30,25,672.09,-2.48,303.21,287.28
13-30,26,655.99,-3.6,304.06,287.84
13-30,27,640.06,-4.76,304.88,288.01
13-30,28,624.46,-5.22,306.52,288.52
13-30,29,609.19,-6.37,307.37,288.55
13-30,30,594.23,-7.88,307.8,288.19
13-30,31,579.56,-9.12,308.56,287.21
13-30,32,565.15,-10.19,309.52,286.83
13-30,33,551.04,-11.53,310.19,286.72
13-30,34,537.2,-12.76,310.98,286.75
13-30,35,523.65,-14.29,311.42,286.96
13-30,36,510.38,-15.59,312.13,286.97
13-30,37,497.36,-16.98,312.75,287.01
13-30,38,484.62,-18.1,313.7,287.22
